Nivel,CodIBGE,Municipio,2007,2009,2011,2013,2015,2017
MU,1300680,Boa Vista do Ramos (AM),32412,66987,69953,100001,101807,125587
MU,1300706,Boca do Acre (AM),117639,125628,189565,236629,286360,364600
MU,1300805,Borba (AM),88509,110687,212851,236239,260752,295945
MU,1300839,Caapiranga (AM),42114,48983,91814,111291,135541,142324
MU,1300904,Canutama (AM),43589,40741,64005,81427,88114,102951
MU,1301001,Carauari (AM),89062,108390,169945,214486,251054,285495
MU,1301100,Careiro (AM),88773,110566,164045,193802,247025,272381
MU,1301159,Careiro da Várzea (AM),125513,111867,240114,234401,269183,313218
MU,1301209,Coari (AM),1838036,1536068,3284130,4558712,2261617,1320621
MU,1301308,Codajás (AM),84208,82985,484044,492322,742360,464071
MU,1301407,Eirunepé (AM),87343,125231,196566,340332,403200,433725
MU,1301506,Envira (AM),46675,58939,87440,116857,129131,148680
MU,1301605,Fonte Boa (AM),71916,79687,116023,132637,156442,167327
MU,1301654,Guajará (AM),40540,49026,63044,92709,106588,115818
MU,1301704,Humaitá (AM),136975,178078,288715,367181,450582,555210
MU,1301803,Ipixuna (AM),41618,55894,76808,106738,120605,139858
MU,1301852,Iranduba (AM),170675,213322,382724,481446,627693,704369
MU,1301902,Itacoatiara (AM),576409,736420,1123370,1440639,1762125,1978815
MU,1301951,Itamarati (AM),25493,29854,53569,73384,79330,93772
MU,1302009,Itapiranga (AM),35815,37666,97911,68872,80512,107576
MU,1302108,Japurá (AM),16768,20124,44743,50959,60551,61964
MU,1302207,Juruá (AM),26707,29567,60860,84513,90422,99727
MU,1302306,Jutaí (AM),62341,68914,112561,180234,196731,218279
MU,1302405,Lábrea (AM),133471,203744,246871,380687,390961,494952
MU,1302504,Manacapuru (AM),371972,520001,889481,1229929,1414754,1525165
MU,1302553,Manaquiri (AM),57657,75950,175844,182257,231559,235922
MU,1302603,Manaus (AM),36053012,42070173,55528640,63829864,67076904,73201651
MU,1302702,Manicoré (AM),138509,185465,330199,400950,492408,495942
MU,1302801,Maraã (AM),50333,66072,82098,96880,122658,154283
MU,1302900,Maués (AM),167198,221452,301987,360983,380954,458903
MU,1303007,Nhamundá (AM),53949,63446,86306,128950,123219,142087
MU,1303106,Nova Olinda do Norte (AM),72219,97315,169383,157883,195941,234152
MU,1303205,Novo Airão (AM),41027,57216,73078,92626,117037,131530
MU,1303304,Novo Aripuanã (AM),113608,79048,116017,140185,157337,183026
MU,1303403,Parintins (AM),352385,456492,770401,1010620,949020,1092092
MU,1303502,Pauini (AM),46108,59066,98729,108044,139060,150716
MU,1303536,Presidente Figueiredo (AM),203992,251658,559052,722104,761204,444819
MU,1303569,Rio Preto da Eva (AM),118733,141313,268716,326203,444180,383824
MU,1303601,Santa Isabel do Rio Negro (AM),36434,50008,87398,104748,155313,122622
MU,1303700,Santo Antônio do Içá (AM),61383,79789,98262,126286,149509,172544
MU,1303809,São Gabriel da Cachoeira (AM),112743,166427,181582,216457,265932,313522
MU,1303908,São Paulo de Olivença (AM),70572,91979,129553,172810,193791,235365
MU,1303957,São Sebastião do Uatumã (AM),24213,29353,55372,73866,84630,101554
MU,1304005,Silves (AM),30934,48484,62113,83929,105001,96289
MU,1304062,Tabatinga (AM),142851,197632,294163,327177,382963,461733
MU,1304104,Tapauá (AM),56144,72104,142178,152594,201237,338818
MU,1304203,Tefé (AM),277321,255117,539754,540069,710973,744800
MU,1304237,Tonantins (AM),42061,50857,76576,99627,114685,123792
MU,1304260,Uarini (AM),40787,42812,74985,106102,130831,186400
MU,1304302,Urucará (AM),58845,67209,262260,256607,310200,298060
MU,1304401,Urucurituba (AM),47258,63039,85446,110166,113917,142872
MU,1400027,Amajari (RR),49815,63955,93573,120398,123154,163220
MU,1400050,Alto Alegre (RR),92505,113549,148197,181429,221320,278084
MU,1400100,Boa Vista (RR),3187975,4338036,5539888,6705377,7581092,8939317
MU,1400159,Bonfim (RR),76965,99235,124340,191785,224232,267087
MU,1400175,Cantá (RR),80479,114320,148512,183167,209781,247837
MU,1400209,Caracaraí (RR),127163,177817,205883,258592,307049,350653
MU,1400233,Caroebe (RR),48301,64682,83313,123945,142421,163048
MU,1400282,Iracema (RR),42502,55570,82427,114095,126537,151293
MU,1400308,Mucajaí (RR),97150,125201,187539,209439,248327,300036
MU,1400407,Normandia (RR),54959,60622,82347,102878,123235,148517
MU,1400456,Pacaraima (RR),74824,86630,109556,131072,145930,171774
MU,1400472,Rorainópolis (RR),153638,213930,282703,403929,467660,531363
MU,1400506,São João da Baliza (RR),42852,60867,81867,109951,124280,155122
MU,1400605,São Luiz (RR),39102,49580,67668,93160,100434,119354
MU,1400704,Uiramutã (RR),35073,47981,65905,81508,97451,116530
MU,1500107,Abaetetuba (PA),415535,509254,709884,891428,1192555,1337194
MU,1500131,Abel Figueiredo (PA),49544,51963,63785,57573,66599,80635
MU,1500206,Acará (PA),427526,418856,503716,871619,640890,932152
MU,1500305,Afuá (PA),103796,133902,190906,262214,324962,358261
MU,1500347,Água Azul do Norte (PA),190861,184284,209295,287540,379314,442902
MU,1500404,Alenquer (PA),178153,269353,360713,560154,518610,609244
MU,1500503,Almeirim (PA),424198,379854,527859,454918,475344,666049
MU,1500602,Altamira (PA),600500,690687,1288182,3094031,3201408,2500591
MU,1500701,Anajás (PA),64439,85336,113267,154237,180985,204720
MU,1500800,Ananindeua (PA),3045502,3539806,4631459,4900297,6222672,6979135
MU,1500859,Anapu (PA),70277,87656,137034,209864,302093,351203
MU,1500909,Augusto Corrêa (PA),95526,111845,169584,253554,287174,332775
MU,1500958,Aurora do Pará (PA),99740,109004,185990,230601,257268,277393
MU,1501006,Aveiro (PA),42617,59929,66434,87332,97996,144717
MU,1501105,Bagre (PA),51472,63327,88672,141329,147607,176241
MU,1501204,Baião (PA),99713,123005,195523,258691,307389,356591
MU,1501253,Bannach (PA),25361,27694,42043,51382,68221,76463
MU,1501303,Barcarena (PA),2288793,2076760,2460398,2658972,5513144,4815194
