Nivel,CodIBGE,Municipio,2007,2009,2011,2013,2015,2017
MU,2206605,Monte Alegre do Piauí (PI),40111,61392,76501,78149,127966,155124
MU,2206654,Morro Cabeça no Tempo (PI),11161,14448,19956,21946,25015,30626
MU,2206670,Morro do Chapéu do Piauí (PI),15178,20052,24897,30008,37650,44502
MU,2206696,Murici dos Portelas (PI),17895,23763,31810,42602,50202,64738
MU,2206704,Nazaré do Piauí (PI),16456,22261,27570,33228,41594,48551
MU,2206720,Nazária (PI),...,20180,33514,42703,64522,78869
MU,2206753,Nossa Senhora de Nazaré (PI),9987,13430,17315,21314,28653,33373
MU,2206803,Nossa Senhora dos Remédios (PI),17339,24301,34221,40904,51627,59819
MU,2206902,Novo Oriente do Piauí (PI),13754,19231,26110,28044,38267,42010
MU,2206951,Novo Santo Antônio (PI),8413,11001,15272,16594,20430,22113
MU,2207009,Oeiras (PI),119703,156666,222894,255952,332971,401082
MU,2207108,Olho D'Água do Piauí (PI),5795,10048,11897,12998,16273,20054
MU,2207207,Padre Marcos (PI),18476,24215,31802,37115,46528,54158
MU,2207306,Paes Landim (PI),10678,14144,20833,23584,31565,35134
MU,2207355,Pajeú do Piauí (PI),9005,11786,14121,17441,22368,27307
MU,2207405,Palmeira do Piauí (PI),19053,40761,48779,38602,61902,71088
MU,2207504,Palmeirais (PI),33699,43781,56782,64412,80015,97350
MU,2207553,Paquetá (PI),10993,14289,17308,19448,23974,33335
MU,2207603,Parnaguá (PI),26274,35095,49533,58331,70713,80969
MU,2207702,Parnaíba (PI),609142,792619,1094075,1430208,1796195,2037540
MU,2207751,Passagem Franca do Piauí (PI),10478,13718,21483,27264,34560,35341
MU,2207777,Patos do Piauí (PI),14431,19441,25132,29999,38746,45466
MU,2207793,Pau D'Arco do Piauí (PI),9971,12208,13443,16051,20370,24337
MU,2207801,Paulistana (PI),50737,74425,158687,119542,170394,192233
MU,2207850,Pavussu (PI),10185,12981,16403,17752,21931,27811
MU,2207900,Pedro II (PI),85354,116532,160222,188179,261114,289623
MU,2207934,Pedro Laurentino (PI),6766,9032,11935,14491,17872,20999
MU,2207959,Nova Santa Rita (PI),9410,14072,17470,25379,28603,32992
MU,2208007,Picos (PI),422839,557440,788259,1039698,1234349,1425586
MU,2208106,Pimenteiras (PI),29161,37371,48559,55447,67446,79988
MU,2208205,Pio IX (PI),47979,62293,91301,93600,130720,134283
MU,2208304,Piracuruca (PI),77383,95182,132290,176037,221106,260345
MU,2208403,Piripiri (PI),194596,260798,358822,447818,584212,657160
MU,2208502,Porto (PI),23924,31556,41918,57464,73255,80875
MU,2208551,Porto Alegre do Piauí (PI),8906,14475,17396,20501,19962,22698
MU,2208601,Prata do Piauí (PI),7966,10608,12818,15802,19244,22044
MU,2208650,Queimada Nova (PI),26942,28433,36139,44304,57679,68300
MU,2208700,Redenção do Gurguéia (PI),21250,31773,38844,47888,59238,67411
MU,2208809,Regeneração (PI),41493,62038,79105,99859,134724,157682
MU,2208858,Riacho Frio (PI),12730,16415,19486,24136,30778,35147
MU,2208874,Ribeira do Piauí (PI),10141,12871,16315,18945,23866,111256
MU,2208908,Ribeiro Gonçalves (PI),68789,120358,135087,187629,245324,346827
MU,2209005,Rio Grande do Piauí (PI),15047,20581,24937,31970,40154,44688
MU,2209104,Santa Cruz do Piauí (PI),13096,18801,26533,34054,41326,48957
MU,2209153,Santa Cruz dos Milagres (PI),10000,12448,17816,21123,28090,32597
MU,2209203,Santa Filomena (PI),45018,89475,104609,97069,203591,213167
MU,2209302,Santa Luz (PI),12054,18227,25813,30196,36862,45875
MU,2209351,Santana do Piauí (PI),10123,13589,18907,20549,28239,32725
MU,2209377,Santa Rosa do Piauí (PI),11661,15724,20164,25063,31148,35822
MU,2209401,Santo Antônio de Lisboa (PI),16602,21952,33995,38347,42388,58165
MU,2209450,Santo Antônio dos Milagres (PI),4440,5750,9466,10303,12066,12993
MU,2209500,Santo Inácio do Piauí (PI),8028,11378,15939,18632,24143,27386
MU,2209559,São Braz do Piauí (PI),9741,13734,17671,20167,26714,27904
MU,2209609,São Félix do Piauí (PI),8073,10112,12862,16596,21128,24217
MU,2209658,São Francisco de Assis do Piauí (PI),11784,14732,20227,27484,35440,39058
MU,2209708,São Francisco do Piauí (PI),12407,18919,27041,35794,42378,48066
MU,2209757,São Gonçalo do Gurguéia (PI),7483,10726,14331,19785,25378,28734
MU,2209807,São Gonçalo do Piauí (PI),10627,15248,19976,22679,27919,35345
MU,2209856,São João da Canabrava (PI),10682,14235,18897,21180,27295,32462
MU,2209872,São João da Fronteira (PI),14703,16350,23614,28130,37426,44498
MU,2209906,São João da Serra (PI),17902,20971,25281,30255,40360,47052
MU,2209955,São João da Varjota (PI),10026,13325,17900,19669,24493,29829
MU,2209971,São João do Arraial (PI),14517,19915,25448,36868,39602,46382
MU,2210003,São João do Piauí (PI),62898,77521,102922,144378,168692,215795
MU,2210052,São José do Divino (PI),14575,18122,25578,32130,38237,45379
MU,2210102,São José do Peixe (PI),10174,14888,18741,21179,28237,32441
MU,2210201,São José do Piauí (PI),17760,23404,31903,35240,44614,51979
MU,2210300,São Julião (PI),14625,18940,25195,28969,37428,43988
MU,2210359,São Lourenço do Piauí (PI),10383,12905,17031,22027,27400,29904
MU,2210375,São Luis do Piauí (PI),5860,7851,10337,11791,14694,17237
MU,2210383,São Miguel da Baixa Grande (PI),5682,7355,10323,13188,16719,20291
MU,2210391,São Miguel do Fidalgo (PI),8335,11007,13438,15087,19367,23516
MU,2210409,São Miguel do Tapuio (PI),39355,54165,70301,84649,104301,121264
MU,2210508,São Pedro do Piauí (PI),34942,44980,56089,74989,99647,102643
MU,2210607,São Raimundo Nonato (PI),114998,153108,212507,268778,354324,407774
MU,2210623,Sebastião Barros (PI),11548,18014,21128,25756,31060,35080
MU,2210631,Sebastião Leal (PI),30947,49461,66735,70573,69007,123308
MU,2210656,Sigefredo Pacheco (PI),21346,28373,36128,42745,51512,61779
MU,2210706,Simões (PI),34402,45369,60295,70485,98081,463907
MU,2210805,Simplício Mendes (PI),34559,48996,66689,92105,115324,132444
MU,2210904,Socorro do Piauí (PI),10480,13644,17886,20944,26446,33471
MU,2210938,Sussuapara (PI),17389,23280,30442,37819,49046,48241
MU,2210953,Tamboril do Piauí (PI),7612,9917,12158,14144,19400,21916
MU,2210979,Tanque do Piauí (PI),6867,10989,13348,16439,20634,27097
MU,2211001,Teresina (PI),6422132,8692782,12174255,14753990,17637197,19113870
MU,2211100,União (PI),136133,177540,233006,251621,300514,338803
MU,2211209,Uruçuí (PI),226227,491715,566240,663087,1026284,1261292
MU,2211308,Valença do Piauí (PI),67587,90069,117208,144804,185160,223638
MU,2211357,Várzea Branca (PI),9749,14572,18386,22279,28674,34734
MU,2211407,Várzea Grande (PI),11731,14608,19334,21376,26136,30918
MU,2211506,Vera Mendes (PI),8121,11729,14022,16018,19262,24082
MU,2211605,Vila Nova do Piauí (PI),10052,13342,18895,19746,24298,28810
MU,2211704,Wall Ferraz (PI),10351,15303,18471,21553,25783,31399
MU,2300101,Abaiara (CE),25383,34757,50943,50468,66037,92945
MU,2300150,Acarape (CE),42765,56351,78626,102164,118734,150035
MU,2300200,Acaraú (CE),190070,239320,388168,467824,551031,633972
MU,2300309,Acopiara (CE),127767,170027,257300,287937,348629,396718
MU,2300408,Aiuaba (CE),38449,48215,72017,78557,106085,104666
MU,2300507,Alcântaras (CE),26489,32916,45163,47742,59306,69282
MU,2300606,Altaneira (CE),17005,22710,28775,37585,43730,53085
MU,2300705,Alto Santo (CE),55847,77369,86327,105060,129449,145309
MU,2300754,Amontada (CE),151945,203450,298074,285779,318742,431303
MU,2300804,Antonina do Norte (CE),20701,26379,33422,41968,47877,57869
MU,2300903,Apuiarés (CE),31683,42272,55136,66228,86910,114647
MU,2301000,Aquiraz (CE),408212,615087,877881,1548885,1828068,2205364
MU,2301109,Aracati (CE),366286,472207,709558,990305,1162571,1275383
MU,2301208,Aracoiaba (CE),67604,93793,118202,138521,175639,205037
MU,2301257,Ararendá (CE),26012,33554,44552,47808,60571,78714
MU,2301307,Araripe (CE),59195,82196,99439,121403,150348,161906
MU,2301406,Aratuba (CE),47805,57495,70954,65219,83743,148412
MU,2301505,Arneiroz (CE),20264,26239,35038,35319,46165,53340
MU,2301604,Assaré (CE),58517,98667,112069,141881,160025,219075
MU,2301703,Aurora (CE),65529,96054,130042,137710,169293,194759
MU,2301802,Baixio (CE),14155,20187,26539,31240,39911,45671
MU,2301851,Banabuiú (CE),69121,82968,106386,108874,135281,165089
MU,2301901,Barbalha (CE),237118,354358,508696,578694,707853,926357
MU,2301950,Barreira (CE),56517,74751,94907,111136,135582,164944
MU,2302008,Barro (CE),58577,86129,99156,121567,149082,179624
MU,2302057,Barroquinha (CE),42149,53624,66529,78006,96717,102550
MU,2302107,Baturité (CE),120013,150184,223883,237707,327536,368416
MU,2302206,Beberibe (CE),188294,271699,419741,499228,621283,798631
MU,2302305,Bela Cruz (CE),69121,91637,125427,150927,187225,239156
MU,2302404,Boa Viagem (CE),146747,191375,275148,285693,345382,404556
MU,2302503,Brejo Santo (CE),154764,201456,315626,334378,593572,591148
MU,2302602,Camocim (CE),232357,278019,399157,450700,545101,663552
MU,2302701,Campos Sales (CE),76450,102335,142526,171344,199437,225815
MU,2302800,Canindé (CE),236989,301376,431699,458613,615599,713663
MU,2302909,Capistrano (CE),46163,59423,84911,87922,110870,148373
MU,2303006,Caridade (CE),43372,59584,83329,82660,111431,126870
MU,2303105,Cariré (CE),48583,62550,77109,86581,110727,141109
MU,2303204,Caririaçu (CE),64501,93436,110101,130863,156561,199727
MU,2303303,Cariús (CE),44143,58150,74999,81832,104195,138682
MU,2303402,Carnaubal (CE),39612,56951,80335,89526,96758,119636
MU,2303501,Cascavel (CE),301473,402209,521580,640554,822905,895957
MU,2303600,Catarina (CE),36232,48392,65562,77238,98351,111487
MU,2303659,Catunda (CE),25846,36093,62925,62428,76508,85798
MU,2303709,Caucaia (CE),1751050,2301594,3283060,4750602,5743008,5860370
MU,2303808,Cedro (CE),65914,92416,117748,133563,171302,187800
MU,2303907,Chaval (CE),30700,43639,52678,65653,75915,92306
MU,2303931,Choró (CE),30095,43919,54829,58757,71054,83641
MU,2303956,Chorozinho (CE),55968,71661,102721,111909,132403,268102
MU,2304004,Coreaú (CE),50466,72543,87186,105188,127735,150364
MU,2304103,Crateús (CE),279728,337990,456132,479661,627712,745267
MU,2304202,Crato (CE),606692,817764,1014068,1180605,1419884,1537562
MU,2304236,Croatá (CE),45879,59920,80077,93684,100814,131520
MU,2304251,Cruz (CE),62394,83633,104786,124806,172982,229840
MU,2304269,Deputado Irapuan Pinheiro (CE),24377,34792,43431,47443,60004,66826
MU,2304277,Ererê (CE),18416,25453,29702,35785,46033,52313
MU,2304285,Eusébio (CE),833211,1183720,1595088,2071769,2724213,2955751
MU,2304301,Farias Brito (CE),50783,66439,90282,103446,137169,194779
MU,2304350,Forquilha (CE),61406,80249,101667,115944,151763,208779
MU,2304400,Fortaleza (CE),24042584,32059070,41394561,49758763,57211200,61579403
MU,2304459,Fortim (CE),51347,68575,92245,117447,141535,157606
MU,2304509,Frecheirinha (CE),37888,53612,75604,104417,190628,250115
MU,2304608,General Sampaio (CE),17536,25230,33334,37793,45660,53074
MU,2304657,Graça (CE),37353,48404,57914,64751,81956,96009
MU,2304707,Granja (CE),121254,160284,201240,242140,324554,367676
MU,2304806,Granjeiro (CE),14830,20672,21540,24620,30297,38617
MU,2304905,Groaíras (CE),24652,31135,42029,52723,67260,77896
MU,2304954,Guaiúba (CE),58825,77790,113232,135903,161180,209204
MU,2305001,Guaraciaba do Norte (CE),142143,167716,237684,279721,325966,450282
MU,2305100,Guaramiranga (CE),25529,32025,43906,44774,50563,61758
MU,2305209,Hidrolândia (CE),52617,70978,98399,101944,124095,143177
MU,2305233,Horizonte (CE),717471,1088360,1206916,1195454,1287176,1596807
MU,2305266,Ibaretama (CE),34589,41140,63355,57737,75499,95302
MU,2305308,Ibiapina (CE),78739,101758,133186,172037,162278,233059
MU,2305332,Ibicuitinga (CE),27194,38172,54340,60583,83077,92925
MU,2305357,Icapuí (CE),106542,123815,168308,220357,228665,278131
MU,2305407,Icó (CE),200236,251373,339135,416179,562942,559410
MU,2305506,Iguatu (CE),522663,645869,970552,1180314,1360229,1501966
MU,2305605,Independência (CE),84987,116389,160383,159655,195207,230501
MU,2305654,Ipaporanga (CE),25404,32798,51720,50505,63780,78956
MU,2305704,Ipaumirim (CE),33200,43523,62347,67346,82031,102843
MU,2305803,Ipu (CE),125728,161478,223815,261073,315015,378293
MU,2305902,Ipueiras (CE),94627,125492,164891,187840,210201,248507
MU,2306009,Iracema (CE),46520,64059,73691,91526,119625,141414
MU,2306108,Irauçuba (CE),56925,79654,106489,124748,148674,168314
MU,2306207,Itaiçaba (CE),23317,26355,34073,43681,57522,69649
MU,2306256,Itaitinga (CE),129393,161596,242375,352105,575677,663523
MU,2306306,Itapajé (CE),229416,331716,715132,450431,497620,549959
MU,2306405,Itapipoca (CE),482996,590292,802759,1002563,1191433,1560065
MU,2306504,Itapiúna (CE),45996,56409,78965,90332,112505,135099
MU,2306553,Itarema (CE),173295,175762,238990,353145,396508,770020
MU,2306603,Itatira (CE),50649,68793,98480,92720,114214,130464
MU,2306702,Jaguaretama (CE),60757,80312,101150,107965,136631,149920
MU,2306801,Jaguaribara (CE),51679,73557,88371,121204,140831,130333
MU,2306900,Jaguaribe (CE),148685,209061,280425,347615,485151,511411
MU,2307007,Jaguaruana (CE),176462,234624,263215,292202,396821,403943
MU,2307106,Jardim (CE),75527,96525,119976,146767,174486,194296
MU,2307205,Jati (CE),20458,29357,38678,41041,75985,90494
MU,2307254,Jijoca de Jericoacoara (CE),51895,71878,108570,138753,216640,310146
MU,2307304,Juazeiro do Norte (CE),1246312,1649601,2475504,3232446,3921616,4427525
MU,2307403,Jucás (CE),62640,92863,121840,140205,172725,187361
MU,2307502,Lavras da Mangabeira (CE),81262,103512,133456,157668,232094,249137
MU,2307601,Limoeiro do Norte (CE),337324,407333,537356,782694,817926,916869
MU,2307635,Madalena (CE),50159,63573,93310,90255,126213,139506
MU,2307650,Maracanaú (CE),2748986,3702590,5005885,6291122,7896114,8537588
MU,2307700,Maranguape (CE),629053,719003,865979,944514,1140316,1367885
MU,2307809,Marco (CE),82849,102219,160880,207680,261287,312042
MU,2307908,Martinópole (CE),19395,28292,37011,49960,62843,77391
MU,2308005,Massapê (CE),82844,107516,137364,165867,207039,255874
MU,2308104,Mauriti (CE),151529,196029,286138,251363,316619,371079
MU,2308203,Meruoca (CE),31850,38599,56522,66688,79926,96485
MU,2308302,Milagres (CE),80504,109879,142915,160552,192052,222841
MU,2308351,Milhã (CE),47179,55025,81242,75322,90187,126510
MU,2308377,Miraíma (CE),27206,39668,53170,58155,73043,86787
MU,2308401,Missão Velha (CE),125491,185975,211897,204972,502539,616366
MU,2308500,Mombaça (CE),117666,141210,182363,205153,258940,318401
MU,2308609,Monsenhor Tabosa (CE),42531,55798,89662,83661,106164,126560
MU,2308708,Morada Nova (CE),314478,326062,436830,629723,692613,842267
MU,2308807,Moraújo (CE),19842,25632,33520,40079,73751,62687
MU,2308906,Morrinhos (CE),46166,66239,84264,93610,125801,147891
MU,2309003,Mucambo (CE),35502,47257,62872,68813,83003,96762
MU,2309102,Mulungu (CE),46269,61148,84793,70613,87881,125250
MU,2309201,Nova Olinda (CE),40527,57532,81430,96906,123904,141009
MU,2309300,Nova Russas (CE),86304,117994,161893,197935,247084,272446
MU,2309409,Novo Oriente (CE),72844,84458,152331,136549,174654,212339
MU,2309458,Ocara (CE),53087,71187,96180,104261,140712,172254
MU,2309508,Orós (CE),78395,104665,125710,144142,170348,181319
MU,2309607,Pacajus (CE),417631,547340,697290,778970,940023,1064219
MU,2309706,Pacatuba (CE),395011,497231,634292,802513,939811,1035662
MU,2309805,Pacoti (CE),50516,67819,91720,91982,99316,165591
MU,2309904,Pacujá (CE),15952,20766,27994,32712,40051,47599
MU,2310001,Palhano (CE),23861,31820,43001,52839,62302,76957
MU,2310100,Palmácia (CE),32198,47617,69294,58579,82823,100905
MU,2310209,Paracuru (CE),175191,207755,295041,370570,405883,475781
MU,2310258,Paraipaba (CE),137906,131385,202168,265461,355526,357051
MU,2310308,Parambu (CE),75954,102433,142908,149030,198473,204750
MU,2310407,Paramoti (CE),31507,40284,62051,72581,74645,95829
MU,2310506,Pedra Branca (CE),99565,132345,193924,204011,249474,281933
MU,2310605,Penaforte (CE),22294,31617,55887,65997,85837,107352
MU,2310704,Pentecoste (CE),105776,160199,250938,350736,335342,404997
MU,2310803,Pereiro (CE),42750,54511,73672,83447,153921,315776
MU,2310852,Pindoretama (CE),60719,82770,110678,135303,184212,221074
MU,2310902,Piquet Carneiro (CE),35873,48045,68466,80284,105633,122359
MU,2310951,Pires Ferreira (CE),23294,31012,42326,42663,44278,57104
MU,2311009,Poranga (CE),26586,33995,43399,54130,66631,77863
MU,2311108,Porteiras (CE),43505,57360,73545,81974,106836,136549
MU,2311207,Potengi (CE),29247,37894,52991,66036,80740,94825
MU,2311231,Potiretama (CE),16781,23623,31225,32100,43412,53936
MU,2311264,Quiterianópolis (CE),47660,61927,101908,101601,127407,166910
MU,2311306,Quixadá (CE),304731,465456,625882,733060,894136,937277
MU,2311355,Quixelô (CE),51825,62055,84630,90249,107327,127325
MU,2311405,Quixeramobim (CE),280432,370805,526957,603448,746318,1037830
MU,2311504,Quixeré (CE),127703,129131,190764,490581,387109,382737
MU,2311603,Redenção (CE),86650,122510,180162,202153,268426,335428
MU,2311702,Reriutaba (CE),56282,71835,105551,120055,140349,190637
MU,2311801,Russas (CE),362600,470387,651383,777481,904223,1129321
MU,2311900,Saboeiro (CE),35374,49410,65115,71996,88688,129445
MU,2311959,Salitre (CE),41497,57228,76314,92767,99370,118071
MU,2312007,Santana do Acaraú (CE),76063,96284,127596,150334,184460,213887
MU,2312106,Santana do Cariri (CE),47331,68325,86005,93678,108196,132737
MU,2312205,Santa Quitéria (CE),143847,201161,261952,298641,373312,444117
MU,2312304,São Benedito (CE),152255,196606,264248,347902,379048,475132
MU,2312403,São Gonçalo do Amarante (CE),209658,294535,592282,822595,1853784,3081374
MU,2312502,São João do Jaguaribe (CE),37594,48385,48577,72701,82085,94528
MU,2312601,São Luís do Curu (CE),34520,47071,65513,74820,90846,96085
MU,2312700,Senador Pompeu (CE),89430,112974,180321,214365,253455,314991
MU,2312809,Senador Sá (CE),17328,22857,31118,33356,40665,49702
MU,2312908,Sobral (CE),1668681,2100913,2671208,3419143,3974674,4455731
MU,2313005,Solonópole (CE),51250,72927,90428,102405,135730,183427
MU,2313104,Tabuleiro do Norte (CE),103506,141869,190765,232017,267022,330450
MU,2313203,Tamboril (CE),69488,91616,125421,126912,164216,201160
MU,2313252,Tarrafas (CE),24222,30791,46285,48193,55215,71507
MU,2313302,Tauá (CE),191049,237004,342140,390250,497673,595530
MU,2313351,Tejuçuoca (CE),34357,44545,62376,73464,99043,110237
MU,2313401,Tianguá (CE),286807,362690,536503,681314,867501,1247939
MU,2313500,Trairi (CE),213388,219442,310705,511212,578552,658874
MU,2313559,Tururu (CE),28736,39791,50988,67906,90784,101253
MU,2313609,Ubajara (CE),142290,177874,229047,277485,336480,508990
MU,2313708,Umari (CE),18629,24110,31914,36236,42930,49082
MU,2313757,Umirim (CE),42991,55680,79713,88297,109338,138775
MU,2313807,Uruburetama (CE),108840,140919,198259,229445,284403,453807
MU,2313906,Uruoca (CE),29731,40155,55792,66012,116878,148476
MU,2313955,Varjota (CE),60949,78585,114770,132942,151347,253729
MU,2314003,Várzea Alegre (CE),98960,134473,188456,221877,281080,347514
MU,2314102,Viçosa do Ceará (CE),152980,191670,246264,291079,331088,413410
MU,2400109,Acari (RN),43491,53885,72737,98156,112644,119095
MU,2400208,Açu (RN),323551,351654,605536,818416,853302,893973
MU,2400307,Afonso Bezerra (RN),33756,42163,51449,65569,79301,95927
MU,2400406,Água Nova (RN),11134,14174,16916,19942,24111,25489
MU,2400505,Alexandria (RN),50744,58582,70505,92574,112704,125194
MU,2400604,Almino Afonso (RN),16612,19246,25013,29979,34276,36037
MU,2400703,Alto do Rodrigues (RN),302037,205271,321498,453270,446954,413321
MU,2400802,Angicos (RN),51751,58985,80498,100524,109781,125955
MU,2400901,Antônio Martins (RN),23058,29463,34036,40390,45917,52866
MU,2401008,Apodi (RN),269829,309364,460079,541188,418636,471251
MU,2401107,Areia Branca (RN),662759,527501,749985,878478,668048,561689
MU,2401206,Arês (RN),258356,180382,280791,209709,275387,362265
MU,2401305,Augusto Severo (RN),32414,38832,53587,81174,74529,83511
MU,2401404,Baía Formosa (RN),45575,69433,91764,116256,143906,134744
MU,2401453,Baraúna (RN),218543,221531,291212,579020,588920,506900
MU,2401503,Barcelona (RN),15165,18433,23059,27692,30533,35277
MU,2401602,Bento Fernandes (RN),20206,25066,30400,34670,39951,45790
MU,2401651,Bodó (RN),12977,16201,22434,42023,38695,221586
MU,2401701,Bom Jesus (RN),32342,39314,46688,61214,70983,80670
MU,2401800,Brejinho (RN),44039,56892,84622,116289,123748,151318
MU,2401859,Caiçara do Norte (RN),25104,29131,33171,43581,52517,69410
MU,2401909,Caiçara do Rio do Vento (RN),12369,15369,20607,27832,31163,33445
MU,2402006,Caicó (RN),373211,477968,669766,883798,981991,1145089
MU,2402105,Campo Redondo (RN),29572,43333,45970,57759,68791,77544
MU,2402204,Canguaretama (RN),157091,209404,260417,358161,418688,478705
MU,2402303,Caraúbas (RN),149338,183638,286941,343642,271748,303959
MU,2402402,Carnaúba dos Dantas (RN),32599,38285,53647,64566,76561,80769
MU,2402501,Carnaubais (RN),83075,60962,184708,192098,150297,119851
MU,2402600,Ceará-Mirim (RN),336356,434831,485246,663989,738018,808622
MU,2402709,Cerro Corá (RN),42327,51873,64831,82163,100412,144427
MU,2402808,Coronel Ezequiel (RN),18501,23793,26939,33655,41596,42804
MU,2402907,Coronel João Pessoa (RN),18457,22811,26042,30935,35880,40150
MU,2403004,Cruzeta (RN),33087,40794,67988,73886,88400,96944
MU,2403103,Currais Novos (RN),256647,330403,457197,586499,622689,721841
MU,2403202,Doutor Severiano (RN),20842,27107,32879,42511,48130,53848
MU,2403251,Parnamirim (RN),1700809,2168431,2966445,4136921,4627678,5022894
MU,2403301,Encanto (RN),17161,20748,24722,31374,36805,42126
MU,2403400,Equador (RN),21898,29902,45213,46063,62697,64742
MU,2403509,Espírito Santo (RN),31053,37023,44107,52162,62468,72125
MU,2403608,Extremoz (RN),115568,144416,187857,247013,306875,387210
MU,2403707,Felipe Guerra (RN),107914,63709,88075,120935,83963,76279
MU,2403756,Fernando Pedroza (RN),10813,13704,15785,22658,24413,31962
MU,2403806,Florânia (RN),29651,38295,51101,63314,82181,81109
MU,2403905,Francisco Dantas (RN),11951,13899,17547,25161,23178,24793
MU,2404002,Frutuoso Gomes (RN),16681,20246,24952,28935,34608,35348
MU,2404101,Galinhos (RN),31842,64512,53774,55630,65383,68331
MU,2404200,Goianinha (RN),115556,145474,182752,233762,295877,358811
MU,2404309,Governador Dix-Sept Rosado (RN),151497,123102,266127,266776,202166,205413
MU,2404408,Grossos (RN),135807,125541,231911,155172,130515,131950
MU,2404507,Guamaré (RN),446731,546106,266331,4199,1241923,1624614
MU,2404606,Ielmo Marinho (RN),45272,54381,65183,83075,93899,103447
MU,2404705,Ipanguaçu (RN),68983,74948,91703,112535,121487,133257
MU,2404804,Ipueira (RN),10223,12828,14828,17996,21812,25976
MU,2404853,Itajá (RN),27360,34220,50613,57079,65893,84245
MU,2404903,Itaú (RN),21527,29940,32506,45782,44304,48104
MU,2405009,Jaçanã (RN),28933,33668,43573,53300,56753,60724
MU,2405108,Jandaíra (RN),22156,26791,34130,44740,62240,74766
MU,2405207,Janduís (RN),20691,27392,35163,42985,53121,60893
MU,2405306,Januário Cicco (RN),39320,39780,44829,50788,58493,65983
MU,2405405,Japi (RN),18704,23257,28083,31836,34819,39533
MU,2405504,Jardim de Angicos (RN),9922,13733,16000,20292,23705,25462
MU,2405603,Jardim de Piranhas (RN),70705,73815,98437,136791,146670,128330
MU,2405702,Jardim do Seridó (RN),62829,78297,93999,110555,129906,154891
MU,2405801,João Câmara (RN),135623,182252,234725,479389,820754,1046277
MU,2405900,João Dias (RN),9875,11804,14177,16813,19221,20934
MU,2406007,José da Penha (RN),20920,26661,30636,36408,44906,48807
MU,2406106,Jucurutu (RN),77206,86359,109684,132980,176071,214319
MU,2406155,Jundiá (RN),12158,17169,19606,23018,27245,32885
MU,2406205,Lagoa d'Anta (RN),22811,28065,33671,39106,46597,50503
MU,2406304,Lagoa de Pedras (RN),25691,28682,34255,44019,53196,58248
MU,2406403,Lagoa de Velhos (RN),15043,16033,19267,24326,30189,31107
MU,2406502,Lagoa Nova (RN),41449,52150,74656,147386,130345,262166
MU,2406601,Lagoa Salgada (RN),28119,31977,40499,58307,57264,66343
MU,2406700,Lajes (RN),38654,46235,61142,93298,100467,120421
MU,2406809,Lajes Pintadas (RN),17577,19940,26180,31074,37450,41040
MU,2406908,Lucrécia (RN),15159,18267,24708,32650,40527,41752
MU,2407005,Luís Gomes (RN),32042,39732,49450,56978,62998,68790
MU,2407104,Macaíba (RN),761619,784706,1079848,1389129,1454040,1479244
MU,2407203,Macau (RN),529513,478013,773568,961749,791519,593170
MU,2407252,Major Sales (RN),11769,14845,18093,22361,33035,34827
MU,2407302,Marcelino Vieira (RN),28675,36458,42862,50471,58609,62168
MU,2407401,Martins (RN),30448,36160,45393,56771,67913,81835
MU,2407500,Maxaranguape (RN),42470,50310,60722,81277,97872,109019
MU,2407609,Messias Targino (RN),15289,17023,43317,56734,65679,76805
MU,2407708,Montanhas (RN),37392,45930,52271,66715,80179,88584
MU,2407807,Monte Alegre (RN),67080,88429,110994,150232,179894,208370
MU,2407906,Monte das Gameleiras (RN),24033,23882,14599,17856,19369,21960
MU,2408003,Mossoró (RN),3081337,3650550,5083833,6151752,5994319,6166119
MU,2408102,Natal (RN),9203925,11708550,14701974,18465101,20591133,23454683
MU,2408201,Nísia Floresta (RN),121787,149874,186459,268034,329124,356970
MU,2408300,Nova Cruz (RN),151884,209323,251480,325213,411902,462001
MU,2408409,Olho d'Água do Borges (RN),15245,20256,26265,30728,33558,34519
MU,2408508,Ouro Branco (RN),30614,23085,29368,35116,41756,47198
MU,2408607,Paraná (RN),13717,16388,19927,26033,29768,33023
MU,2408706,Paraú (RN),15450,19000,22545,32224,32554,40707
MU,2408805,Parazinho (RN),18998,22703,101296,196674,225963,422975
MU,2408904,Parelhas (RN),91682,108137,184441,227210,310961,322277
MU,2408953,Rio do Fogo (RN),38755,49110,63101,91656,109857,170495
MU,2409100,Passa e Fica (RN),52371,44443,68723,79876,99166,107588
MU,2409209,Passagem (RN),11056,13470,18109,23983,26495,30554
MU,2409308,Patu (RN),38740,43130,62361,90793,106214,129578
MU,2409332,Santa Maria (RN),16938,22217,29154,45819,57947,65384
MU,2409407,Pau dos Ferros (RN),156144,206451,264791,338782,404786,493167
MU,2409506,Pedra Grande (RN),16520,21668,27414,39847,148360,206876
MU,2409605,Pedra Preta (RN),10976,13115,17203,19116,23007,24973
MU,2409704,Pedro Avelino (RN),30591,34510,40881,42118,49782,54326
MU,2409803,Pedro Velho (RN),47827,57742,73814,90164,109705,123262
MU,2409902,Pendências (RN),158974,142129,265985,369347,279824,284404
MU,2410009,Pilões (RN),12942,17732,32947,25246,32006,35074
MU,2410108,Poço Branco (RN),41413,50562,64827,82757,93298,107187
MU,2410207,Portalegre (RN),23999,30449,38948,46087,53194,59753
MU,2410256,Porto do Mangue (RN),234476,137026,282331,249993,123185,117581
