 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Jan/2021
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"210400 Esperantinópolis";113;113;59252,43;50222,01;-;-;9030,42;-;-;524,36;524,36;233;2,1;-;-
"210405 Estreito";153;153;108435,60;86768,72;-;-;21666,88;-;-;708,73;708,73;379;2,5;3;1,96
"210407 Feira Nova do Maranhão";56;56;26158,90;21663,17;-;-;4495,73;-;-;467,12;467,12;236;4,2;-;-
"210408 Fernando Falcão";16;16;7699,07;6278,15;-;-;1420,92;-;-;481,19;481,19;50;3,1;-;-
"210409 Formosa da Serra Negra";59;59;21365,37;18024,91;-;-;3340,46;-;-;362,12;362,12;160;2,7;-;-
"210410 Fortaleza dos Nogueiras";78;78;26341,41;22324,39;-;-;4017,02;-;-;337,71;337,71;257;3,3;-;-
"210420 Fortuna";80;80;36703,06;30206,42;-;-;6496,64;-;-;458,79;458,79;160;2,0;-;-
"210440 Gonçalves Dias";153;153;54197,12;45826,90;-;-;8370,22;-;-;354,23;354,23;310;2,0;-;-
"210450 Governador Archer";89;89;29846,34;25108,36;-;-;4737,98;-;-;335,35;335,35;180;2,0;-;-
"210455 Governador Edison Lobão";25;25;7436,23;6483,08;-;-;953,15;-;-;297,45;297,45;48;1,9;-;-
"210460 Governador Eugênio Barros";67;67;38720,43;31198,36;-;-;7522,07;-;-;577,92;577,92;189;2,8;-;-
"210465 Governador Newton Bello";34;34;12074,07;10579,54;-;-;1494,53;-;-;355,12;355,12;78;2,3;-;-
"210467 Governador Nunes Freire";348;348;151264,76;105542,61;-;-;45722,15;-;-;434,67;434,67;754;2,2;7;2,01
"210470 Graça Aranha";19;19;6839,03;5780,20;-;-;1058,83;-;-;359,95;359,95;48;2,5;-;-
"210480 Grajaú";489;489;247198,89;181734,14;-;-;65464,75;-;-;505,52;505,52;1498;3,1;11;2,25
"210490 Guimarães";71;71;17546,58;14698,06;-;-;2848,52;-;-;247,13;247,13;148;2,1;-;-
"210515 Igarapé do Meio";40;40;15490,09;13300,28;-;-;2189,81;-;-;387,25;387,25;108;2,7;-;-
"210520 Igarapé Grande";75;75;44135,81;34106,55;-;-;10029,26;-;-;588,48;588,48;193;2,6;-;-
"210530 Imperatriz";1719;1719;2180531,13;1727965,65;-;-;452565,48;-;-;1268,49;1268,49;8645;5,0;101;5,88
"210535 Itaipava do Grajaú";52;52;20259,96;15216,24;-;-;5043,72;-;-;389,61;389,61;56;1,1;-;-
"210540 Itapecuru Mirim";276;276;149132,42;98867,83;-;-;50264,59;-;-;540,33;540,33;919;3,3;2;0,72
