 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Mar/2021
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"220760 Parnaguá";122;122;82064,13;68315,90;-;-;13748,23;-;-;672,66;672,66;462;3,8;-;-
"220770 Parnaíba";1311;1311;1742106,97;1345705,70;-;-;396401,27;-;-;1328,84;1328,84;8158;6,2;81;6,18
"220780 Paulistana";154;154;66021,45;48985,34;-;-;17036,11;-;-;428,71;428,71;364;2,4;-;-
"220790 Pedro II";195;195;108834,45;87618,15;-;-;21216,30;-;-;558,13;558,13;814;4,2;5;2,56
"220800 Picos";458;458;276195,65;212712,37;-;-;63483,28;-;-;603,05;603,05;1410;3,1;18;3,93
"220830 Piracuruca";98;98;54351,72;42198,75;-;-;12152,97;-;-;554,61;554,61;506;5,2;-;-
"220850 Porto";25;25;14087,53;11735,23;-;-;2352,30;-;-;563,50;563,50;87;3,5;-;-
"220880 Regeneração";144;144;72354,90;63821,46;-;-;8533,44;-;-;502,46;502,46;293;2,0;5;3,47
"220890 Ribeiro Gonçalves";20;20;6645,13;5575,75;-;-;1069,38;-;-;332,26;332,26;41;2,0;-;-
"220960 São Félix do Piauí";3;3;946,04;814,11;-;-;131,93;-;-;315,35;315,35;6;2,0;-;-
"221000 São João do Piauí";128;128;52880,40;40485,96;-;-;12394,44;-;-;413,13;413,13;400;3,1;1;0,78
