 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Abr/2021
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"210710 Morros";90;90;59557,85;45261,60;-;-;14296,25;-;-;661,75;661,75;275;3,1;-;-
"210720 Nina Rodrigues";50;50;55801,16;43661,28;-;-;12139,88;-;-;1116,02;1116,02;338;6,8;-;-
"210725 Nova Colinas";31;31;17309,50;14030,06;-;-;3279,44;-;-;558,37;558,37;87;2,8;-;-
"210735 Nova Olinda do Maranhão";118;118;42382,17;35508,05;-;-;6874,12;-;-;359,17;359,17;244;2,1;-;-
"210740 Olho d'Água das Cunhãs";93;93;37665,81;31753,45;-;-;5912,36;-;-;405,01;405,01;280;3,0;-;-
"210745 Olinda Nova do Maranhão";73;73;41348,09;32207,99;-;-;9140,10;-;-;566,41;566,41;151;2,1;-;-
"210760 Palmeirândia";48;48;17907,28;13363,63;-;-;4543,65;-;-;373,07;373,07;131;2,7;-;-
"210770 Paraibano";97;97;84474,21;69050,06;-;-;15424,15;-;-;870,87;870,87;412;4,2;1;1,03
"210790 Passagem Franca";385;385;167561,01;140791,19;-;-;26769,82;-;-;435,22;435,22;1067;2,8;3;0,78
"210800 Pastos Bons";131;131;57505,57;48123,28;-;-;9382,29;-;-;438,97;438,97;405;3,1;-;-
"210805 Paulino Neves";70;70;35161,20;25498,11;-;-;9663,09;-;-;502,30;502,30;142;2,0;-;-
"210820 Pedreiras";323;323;400162,91;320503,28;-;-;79659,63;-;-;1238,89;1238,89;1654;5,1;16;4,95
"210825 Pedro do Rosário";9;9;3015,25;2242,64;-;-;772,61;-;-;335,03;335,03;26;2,9;-;-
"210830 Penalva";119;119;55658,81;37638,28;-;-;18020,53;-;-;467,72;467,72;200;1,7;-;-
"210840 Peri Mirim";11;11;4110,68;3402,52;-;-;708,16;-;-;373,70;373,70;28;2,5;-;-
"210845 Peritoró";251;251;130310,71;98969,91;-;-;31340,80;-;-;519,17;519,17;1129;4,5;12;4,78
"210860 Pinheiro";689;689;1354844,51;1110523,51;-;-;244321,00;-;-;1966,39;1966,39;3128;4,5;62;9,00
"210870 Pio XII";103;103;39094,07;31947,68;-;-;7146,39;-;-;379,55;379,55;314;3,0;-;-
"210880 Pirapemas";46;46;27429,25;21056,53;-;-;6372,72;-;-;596,29;596,29;109;2,4;-;-
"210900 Porto Franco";216;216;80327,07;60862,26;-;-;19464,81;-;-;371,88;371,88;462;2,1;3;1,39
"210910 Presidente Dutra";358;358;829855,64;697167,57;-;-;132688,07;-;-;2318,03;2318,03;1943;5,4;60;16,76
"210920 Presidente Juscelino";27;27;9542,10;8356,72;-;-;1185,38;-;-;353,41;353,41;102;3,8;1;3,70
"210927 Presidente Sarney";45;45;16065,46;12598,26;-;-;3467,20;-;-;357,01;357,01;93;2,1;-;-
"210930 Presidente Vargas";44;44;37260,03;29144,64;-;-;8115,39;-;-;846,82;846,82;217;4,9;-;-
"210945 Raposa";10;10;7209,15;6563,90;-;-;645,25;-;-;720,92;720,92;43;4,3;-;-
"210950 Riachão";182;182;107159,07;86627,46;-;-;20531,61;-;-;588,79;588,79;519;2,9;-;-
"210960 Rosário";154;154;51605,79;42803,25;-;-;8802,54;-;-;335,10;335,10;311;2,0;-;-
"210970 Sambaíba";11;11;3836,56;3304,68;-;-;531,88;-;-;348,78;348,78;44;4,0;-;-
"210990 Santa Inês";306;306;1263440,69;1070046,46;-;-;193394,23;-;-;4128,89;4128,89;2103;6,9;51;16,67
"211000 Santa Luzia";173;173;104583,42;77000,18;-;-;27583,24;-;-;604,53;604,53;542;3,1;3;1,73
"211003 Santa Luzia do Paruá";129;129;175356,66;141736,38;-;-;33620,28;-;-;1359,35;1359,35;814;6,3;22;17,05
"211010 Santa Quitéria do Maranhão";106;106;50856,07;38608,85;-;-;12247,22;-;-;479,77;479,77;333;3,1;-;-
"211023 Santana do Maranhão";38;38;15582,11;11797,52;-;-;3784,59;-;-;410,06;410,06;86;2,3;-;-
"211027 Santo Amaro do Maranhão";70;70;25405,49;21565,92;-;-;3839,57;-;-;362,94;362,94;139;2,0;-;-
"211040 São Benedito do Rio Preto";102;102;55405,93;42539,85;-;-;12866,08;-;-;543,20;543,20;177;1,7;-;-
"211050 São Bento";98;98;31787,83;25103,34;-;-;6684,49;-;-;324,37;324,37;300;3,1;-;-
"211060 São Bernardo";166;166;79303,12;64947,45;-;-;14355,67;-;-;477,73;477,73;607;3,7;-;-
"211065 São Domingos do Azeitão";24;24;9182,00;8137,03;-;-;1044,97;-;-;382,58;382,58;72;3,0;-;-
"211070 São Domingos do Maranhão";138;138;85110,22;68256,69;-;-;16853,53;-;-;616,74;616,74;516;3,7;-;-
"211080 São Félix de Balsas";37;37;17458,46;14741,44;-;-;2717,02;-;-;471,85;471,85;94;2,5;1;2,70
"211085 São Francisco do Brejão";54;54;15364,16;12883,71;-;-;2480,45;-;-;284,52;284,52;113;2,1;-;-
"211090 São Francisco do Maranhão";61;61;57913,68;46251,66;-;-;11662,02;-;-;949,40;949,40;180;3,0;2;3,28
"211107 São João do Soter";98;98;68086,17;55004,68;-;-;13081,49;-;-;694,76;694,76;389;4,0;-;-
"211110 São João dos Patos";82;82;23360,57;19694,14;-;-;3666,43;-;-;284,89;284,89;209;2,5;1;1,22
"211120 São José de Ribamar";211;211;118682,49;70288,92;-;-;48393,57;-;-;562,48;562,48;500;2,4;1;0,47
"211130 São Luís";8886;9289;22704538,23;18645997,24;-;-;4058540,99;-;-;2444,24;2555,09;82951;9,3;783;8,81
"211140 São Luís Gonzaga do Maranhão";155;155;73103,01;61470,27;-;-;11632,74;-;-;471,63;471,63;467;3,0;1;0,65
"211150 São Mateus do Maranhão";149;149;81978,98;65436,18;-;-;16542,80;-;-;550,19;550,19;310;2,1;1;0,67
"211153 São Pedro da Água Branca";39;39;40935,56;33078,08;-;-;7857,48;-;-;1049,63;1049,63;86;2,2;1;2,56
"211157 São Pedro dos Crentes";91;91;21077,97;16924,46;-;-;4153,51;-;-;231,63;231,63;501;5,5;-;-
"211160 São Raimundo das Mangabeiras";108;108;43095,75;37592,59;-;-;5503,16;-;-;399,03;399,03;324;3,0;-;-
"211163 São Raimundo do Doca Bezerra";1;1;995,51;923,29;-;-;72,22;-;-;995,51;995,51;3;3,0;-;-
"211180 Sítio Novo";74;74;56723,26;44746,43;-;-;11976,83;-;-;766,53;766,53;306;4,1;1;1,35
"211195 Sucupira do Riachão";25;25;8921,48;7644,88;-;-;1276,60;-;-;356,86;356,86;100;4,0;-;-
