 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Mai/2021
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"211065 São Domingos do Azeitão";27;27;10910,94;9280,44;-;-;1630,50;-;-;404,11;404,11;59;2,2;-;-
"211070 São Domingos do Maranhão";139;139;107458,67;84358,75;-;-;23099,92;-;-;773,08;773,08;477;3,4;-;-
"211080 São Félix de Balsas";35;35;27954,75;23025,75;-;-;4929,00;-;-;798,71;798,71;120;3,4;-;-
"211107 São João do Soter";90;90;51362,93;42054,07;-;-;9308,86;-;-;570,70;570,70;336;3,7;-;-
"211110 São João dos Patos";104;104;25630,51;21284,90;-;-;4345,61;-;-;246,45;246,45;165;1,6;2;1,92
"211120 São José de Ribamar";229;229;122055,12;74824,41;-;-;47230,71;-;-;532,99;532,99;632;2,8;-;-
"211130 São Luís";10008;10406;25455534,37;20928961,85;-;-;4526572,52;-;-;2446,24;2543,52;88277;8,8;811;8,10
"211140 São Luís Gonzaga do Maranhão";155;155;64954,13;53619,33;-;-;11334,80;-;-;419,06;419,06;463;3,0;2;1,29
"211150 São Mateus do Maranhão";149;149;58419,47;46770,29;-;-;11649,18;-;-;392,08;392,08;266;1,8;1;0,67
"211153 São Pedro da Água Branca";73;73;37737,35;32089,80;-;-;5647,55;-;-;516,95;516,95;165;2,3;-;-
"211157 São Pedro dos Crentes";93;93;31301,69;25748,20;-;-;5553,49;-;-;336,58;336,58;495;5,3;-;-
"211160 São Raimundo das Mangabeiras";129;129;69724,74;59550,06;-;-;10174,68;-;-;540,50;540,50;398;3,1;-;-
"211180 Sítio Novo";76;76;35096,92;27766,65;-;-;7330,27;-;-;461,80;461,80;220;2,9;-;-
"211195 Sucupira do Riachão";14;14;5891,01;5025,33;-;-;865,68;-;-;420,79;420,79;68;4,9;1;7,14
"211200 Tasso Fragoso";15;15;6719,26;5758,85;-;-;960,41;-;-;447,95;447,95;57;3,8;-;-
"211210 Timbiras";380;380;219469,55;162650,47;-;-;56819,08;-;-;577,55;577,55;1221;3,2;15;3,95
"211220 Timon";693;693;1136795,81;913956,06;-;-;222839,75;-;-;1640,40;1640,40;3106;4,5;45;6,49
"211230 Tuntum";343;343;165939,34;134655,20;-;-;31284,14;-;-;483,79;483,79;1098;3,2;2;0,58
"211250 Tutóia";123;123;59692,33;40590,08;-;-;19102,25;-;-;485,30;485,30;271;2,2;-;-
"211260 Urbano Santos";143;143;118165,98;89104,91;-;-;29061,07;-;-;826,34;826,34;345;2,4;2;1,40
"211280 Viana";123;123;73707,13;57149,49;-;-;16557,64;-;-;599,24;599,24;469;3,8;5;4,07
"220020 Água Branca";87;87;88490,42;70772,66;-;-;17717,76;-;-;1017,13;1017,13;334;3,8;5;5,75
"220030 Alto Longá";20;20;15432,57;12998,15;-;-;2434,42;-;-;771,63;771,63;102;5,1;1;5,00
"220040 Altos";91;91;72809,82;57515,79;-;-;15294,03;-;-;800,11;800,11;292;3,2;1;1,10
"220050 Amarante";115;115;67714,70;53707,86;-;-;14006,84;-;-;588,82;588,82;314;2,7;5;4,35
"220100 Arraial";17;17;7233,97;6425,23;-;-;808,74;-;-;425,53;425,53;58;3,4;-;-
"220120 Barras";110;110;94415,06;74986,81;-;-;19428,25;-;-;858,32;858,32;555;5,0;12;10,91
"220150 Batalha";79;79;51664,75;42800,80;-;-;8863,95;-;-;653,98;653,98;345;4,4;-;-
"220160 Beneditinos";5;5;1781,90;1429,63;-;-;352,27;-;-;356,38;356,38;17;3,4;-;-
"220180 Bocaina";60;60;39698,31;35728,66;-;-;3969,65;-;-;661,64;661,64;180;3,0;-;-
"220190 Bom Jesus";444;444;519137,46;421062,58;-;-;98074,88;-;-;1169,23;1169,23;1702;3,8;24;5,41
"220220 Campo Maior";430;430;294382,89;235718,35;-;-;58664,54;-;-;684,61;684,61;1542;3,6;24;5,58
"220230 Canto do Buriti";90;90;74577,86;60764,12;-;-;13813,74;-;-;828,64;828,64;383;4,3;-;-
"220260 Castelo do Piauí";63;63;37546,67;29990,66;-;-;7556,01;-;-;595,98;595,98;228;3,6;-;-
"220270 Cocal";45;45;25451,77;20476,09;-;-;4975,68;-;-;565,59;565,59;106;2,4;-;-
"220290 Corrente";101;101;81341,82;57592,29;-;-;23749,53;-;-;805,36;805,36;291;2,9;3;2,97
"220310 Cristino Castro";55;55;45873,62;40527,94;-;-;5345,68;-;-;834,07;834,07;166;3,0;-;-
"220320 Curimatá";81;81;69843,18;54398,84;-;-;15444,34;-;-;862,26;862,26;305;3,8;2;2,47
"220330 Demerval Lobão";98;98;99853,08;79510,33;-;-;20342,75;-;-;1018,91;1018,91;327;3,3;-;-
"220350 Elesbão Veloso";40;40;28983,10;23644,69;-;-;5338,41;-;-;724,58;724,58;166;4,2;-;-
"220370 Esperantina";297;297;220350,65;162357,62;-;-;57993,03;-;-;741,92;741,92;655;2,2;8;2,69
"220400 Francinópolis";4;4;1965,71;1768,52;-;-;197,19;-;-;491,43;491,43;36;9,0;-;-
"220430 Fronteiras";187;187;103420,62;91628,56;-;-;11792,06;-;-;553,05;553,05;589;3,1;-;-
"220450 Guadalupe";27;27;19360,08;15517,89;-;-;3842,19;-;-;717,04;717,04;120;4,4;-;-
"220470 Inhuma";24;24;17960,83;14611,65;-;-;3349,18;-;-;748,37;748,37;124;5,2;-;-
"220480 Ipiranga do Piauí";7;7;4247,71;3780,50;-;-;467,21;-;-;606,82;606,82;17;2,4;-;-
"220510 Itaueira";21;21;20611,83;16394,12;-;-;4217,71;-;-;981,52;981,52;63;3,0;-;-
"220520 Jaicós";83;83;33452,36;26364,67;-;-;7087,69;-;-;403,04;403,04;163;2,0;-;-
"220540 Joaquim Pires";14;14;7896,36;6838,31;-;-;1058,05;-;-;564,03;564,03;58;4,1;-;-
"220550 José de Freitas";100;100;63913,24;52351,23;-;-;11562,01;-;-;639,13;639,13;390;3,9;-;-
"220570 Luís Correia";8;8;2033,71;1737,10;-;-;296,61;-;-;254,21;254,21;24;3,0;-;-
"220580 Luzilândia";153;153;155807,18;123804,28;-;-;32002,90;-;-;1018,35;1018,35;723;4,7;-;-
"220620 Miguel Alves";110;110;67142,99;58985,66;-;-;8157,33;-;-;610,39;610,39;244;2,2;-;-
"220700 Oeiras";485;485;843655,11;698988,24;-;-;144666,87;-;-;1739,50;1739,50;2097;4,3;29;5,98
"220760 Parnaguá";148;148;97584,87;82923,03;-;-;14661,84;-;-;659,36;659,36;423;2,9;-;-
"220770 Parnaíba";1397;1397;1595919,41;1227312,69;-;-;368606,72;-;-;1142,39;1142,39;8370;6,0;156;11,17
"220790 Pedro II";211;211;130154,08;103371,65;-;-;26782,43;-;-;616,84;616,84;814;3,9;4;1,90
"220810 Pimenteiras";13;13;4443,34;3887,48;-;-;555,86;-;-;341,80;341,80;45;3,5;-;-
"220820 Pio IX";14;14;8076,80;6667,77;-;-;1409,03;-;-;576,91;576,91;76;5,4;-;-
"220850 Porto";45;45;21103,83;16739,52;-;-;4364,31;-;-;468,97;468,97;89;2,0;-;-
"220880 Regeneração";127;127;74915,48;66602,88;-;-;8312,60;-;-;589,89;589,89;378;3,0;2;1,57
"220890 Ribeiro Gonçalves";18;18;5541,05;4688,50;-;-;852,55;-;-;307,84;307,84;36;2,0;-;-
"220960 São Félix do Piauí";2;2;233,89;181,14;-;-;52,75;-;-;116,94;116,94;2;1,0;-;-
"221040 São Miguel do Tapuio";35;35;20229,24;15609,59;-;-;4619,65;-;-;577,98;577,98;101;2,9;2;5,71
"221050 São Pedro do Piauí";15;15;10284,52;8092,24;-;-;2192,28;-;-;685,63;685,63;40;2,7;-;-
"221060 São Raimundo Nonato";964;964;728634,70;607462,51;-;-;121172,19;-;-;755,85;755,85;2876;3,0;9;0,93
"221070 Simões";138;138;75973,57;68228,66;-;-;7744,91;-;-;550,53;550,53;414;3,0;-;-
"221100 Teresina";7636;7757;20523070,20;16987451,32;-;-;3535618,88;-;-;2645,75;2687,67;48883;6,4;622;8,15
"221110 União";112;112;81268,54;62661,98;-;-;18606,56;-;-;725,61;725,61;454;4,1;3;2,68
"221120 Uruçuí";162;162;162801,58;128946,83;-;-;33854,75;-;-;1004,95;1004,95;582;3,6;9;5,56
"221130 Valença do Piauí";193;193;128166,83;93728,92;-;-;34437,91;-;-;664,08;664,08;532;2,8;3;1,55
"221170 Wall Ferraz";30;30;18202,46;16262,68;-;-;1939,78;-;-;606,75;606,75;86;2,9;-;-
"230030 Acopiara";128;128;119691,61;91655,86;-;-;28035,75;-;-;935,09;935,09;390;3,0;8;6,25
"230070 Alto Santo";9;9;9263,06;7406,94;-;-;1856,12;-;-;1029,23;1029,23;46;5,1;1;11,11
"230080 Antonina do Norte";11;11;14683,09;11838,22;-;-;2844,87;-;-;1334,83;1334,83;61;5,5;1;9,09
"230100 Aquiraz";157;157;92854,62;69035,48;-;-;23819,14;-;-;591,43;591,43;542;3,5;11;7,01
"230110 Aracati";404;404;302010,01;223035,70;-;-;78974,31;-;-;747,55;747,55;1585;3,9;17;4,21
"230130 Araripe";46;46;32037,35;26591,86;-;-;5445,49;-;-;696,46;696,46;199;4,3;4;8,70
"230160 Assaré";31;31;32249,60;26149,99;-;-;6099,61;-;-;1040,31;1040,31;192;6,2;3;9,68
"230170 Aurora";149;149;93653,09;68622,39;-;-;25030,70;-;-;628,54;628,54;372;2,5;1;0,67
"230185 Banabuiú";27;27;21672,41;17277,05;-;-;4395,36;-;-;802,68;802,68;98;3,6;2;7,41
"230190 Barbalha";1184;1184;3194026,13;2623002,70;-;-;571023,43;-;-;2697,66;2697,66;7046;6,0;92;7,77
"230195 Barreira";20;20;25714,21;20693,29;-;-;5020,92;-;-;1285,71;1285,71;92;4,6;-;-
"230200 Barro";38;38;40768,69;32917,79;-;-;7850,90;-;-;1072,86;1072,86;187;4,9;1;2,63
"230210 Baturité";183;183;117917,37;78560,66;-;-;39356,71;-;-;644,36;644,36;387;2,1;-;-
"230230 Bela Cruz";62;62;46609,32;36770,69;-;-;9838,63;-;-;751,76;751,76;269;4,3;5;8,06
"230260 Camocim";351;351;196470,69;148836,56;-;-;47634,13;-;-;559,75;559,75;1014;2,9;6;1,71
"230280 Canindé";401;401;529113,09;413901,00;-;-;115212,09;-;-;1319,48;1319,48;1749;4,4;22;5,49
"230300 Caridade";1;1;443,40;267,60;-;-;175,80;-;-;443,40;443,40;-;-;-;-
