 Morbidade Hospitalar do SUS - por local de internação - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Fev/2021
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"220310 Cristino Castro";56;56;42370,71;38761,92;-;-;3608,79;-;-;756,62;756,62;200;3,6;-;-
"220320 Curimatá";71;71;48163,17;37349,45;-;-;10813,72;-;-;678,35;678,35;199;2,8;-;-
"220330 Demerval Lobão";76;76;57505,52;47186,75;-;-;10318,77;-;-;756,65;756,65;257;3,4;-;-
"220350 Elesbão Veloso";46;46;16478,93;13916,92;-;-;2562,01;-;-;358,24;358,24;199;4,3;1;2,17
"220370 Esperantina";329;329;194774,12;147953,49;-;-;46820,63;-;-;592,02;592,02;610;1,9;7;2,13
"220390 Floriano";1011;1011;1179327,22;940317,03;894,32;-;237618,65;-;-;1166,50;1166,50;6101;6,0;68;6,73
"220430 Fronteiras";189;189;114625,81;102175,46;-;-;12450,35;-;-;606,49;606,49;636;3,4;-;-
"220450 Guadalupe";35;35;14839,78;12476,09;-;-;2363,69;-;-;423,99;423,99;82;2,3;-;-
"220510 Itaueira";28;28;12002,53;9822,56;-;-;2179,97;-;-;428,66;428,66;81;2,9;-;-
"220520 Jaicós";69;69;23825,05;21253,71;-;-;2571,34;-;-;345,29;345,29;143;2,1;-;-
"220550 José de Freitas";95;95;40903,00;36264,82;-;-;4638,18;-;-;430,56;430,56;291;3,1;-;-
"220570 Luís Correia";26;26;6915,40;5934,97;-;-;980,43;-;-;265,98;265,98;82;3,2;-;-
"220580 Luzilândia";123;123;80317,49;62792,03;-;-;17525,46;-;-;652,99;652,99;385;3,1;-;-
"220620 Miguel Alves";102;102;51557,84;46341,22;-;-;5216,62;-;-;505,47;505,47;153;1,5;-;-
"220700 Oeiras";376;376;553353,96;459982,25;-;-;93371,71;-;-;1471,69;1471,69;1442;3,8;19;5,05
"220760 Parnaguá";121;121;72438,34;61606,55;-;-;10831,79;-;-;598,66;598,66;424;3,5;-;-
"220770 Parnaíba";1514;1514;1437382,39;1078018,96;-;-;359363,43;-;-;949,39;949,39;9057;6,0;92;6,08
"220780 Paulistana";134;134;66569,64;47741,54;-;-;18828,10;-;-;496,79;496,79;292;2,2;-;-
"220790 Pedro II";190;190;74904,70;60169,45;-;-;14735,25;-;-;394,24;394,24;762;4,0;4;2,11
"220800 Picos";448;448;287156,84;226259,34;-;-;60897,50;-;-;640,98;640,98;1628;3,6;24;5,36
"220810 Pimenteiras";11;11;4865,57;4087,29;-;-;778,28;-;-;442,32;442,32;25;2,3;-;-
"220830 Piracuruca";60;60;31741,09;23659,63;-;-;8081,46;-;-;529,02;529,02;310;5,2;-;-
"220840 Piripiri";310;310;257591,80;192265,73;-;-;65326,07;-;-;830,94;830,94;1244;4,0;25;8,06
"220850 Porto";21;21;8622,61;7225,96;-;-;1396,65;-;-;410,60;410,60;79;3,8;-;-
"220880 Regeneração";122;122;57973,38;50331,85;-;-;7641,53;-;-;475,19;475,19;229;1,9;1;0,82
"220890 Ribeiro Gonçalves";23;23;7123,17;5757,88;-;-;1365,29;-;-;309,70;309,70;44;1,9;-;-
"220960 São Félix do Piauí";3;3;1380,48;1226,89;-;-;153,59;-;-;460,16;460,16;7;2,3;-;-
"221000 São João do Piauí";115;115;47757,21;38062,75;-;-;9694,46;-;-;415,28;415,28;393;3,4;5;4,35
"221040 São Miguel do Tapuio";21;21;9988,30;7541,40;-;-;2446,90;-;-;475,63;475,63;83;4,0;-;-
"221050 São Pedro do Piauí";15;15;6697,66;4597,66;-;-;2100,00;-;-;446,51;446,51;22;1,5;-;-
"221060 São Raimundo Nonato";1026;1026;846209,45;701561,84;-;-;144647,61;-;-;824,77;824,77;2925;2,9;13;1,27
"221070 Simões";138;138;76953,39;68726,31;-;-;8227,08;-;-;557,63;557,63;442;3,2;-;-
"221100 Teresina";7698;7813;14331892,57;11693987,99;-;-;2637904,58;-;-;1834,36;1861,77;47730;6,2;461;5,99
"221110 União";54;54;20973,27;15893,63;-;-;5079,64;-;-;388,39;388,39;174;3,2;-;-
"221120 Uruçuí";147;147;97649,95;76501,01;-;-;21148,94;-;-;664,29;664,29;491;3,3;6;4,08
"221130 Valença do Piauí";178;178;103746,27;78567,78;-;-;25178,49;-;-;582,84;582,84;504;2,8;2;1,12
"221170 Wall Ferraz";30;30;18202,46;16262,68;-;-;1939,78;-;-;606,75;606,75;86;2,9;-;-
"230020 Acaraú";661;661;278119,37;193722,63;-;-;84396,74;-;-;420,76;420,76;1736;2,6;6;0,91
"230030 Acopiara";113;113;74281,21;54189,15;-;-;20092,06;-;-;657,36;657,36;317;2,8;1;0,88
"230040 Aiuaba";17;17;11673,79;9190,00;-;-;2483,79;-;-;686,69;686,69;60;3,5;1;5,88
"230070 Alto Santo";10;10;5870,45;4557,92;-;-;1312,53;-;-;587,04;587,04;59;5,9;-;-
"230075 Amontada";19;19;9613,44;6377,32;-;-;3236,12;-;-;505,97;505,97;35;1,8;-;-
"230080 Antonina do Norte";8;8;3168,51;2760,03;-;-;408,48;-;-;396,06;396,06;24;3,0;-;-
"230090 Apuiarés";5;5;1836,07;1600,43;-;-;235,64;-;-;367,21;367,21;12;2,4;-;-
